Rank,School name,Name in Chinese,Country,AI Course,AI Program (Program names that include AI courses),AI  background Teacher name,Teacher Background Information,Link,,,,,,,,,,,,,,,,,,,,,
25,"University of California, Davis",加州大学-戴维斯,USA,Applied Statistical Methods: Regression Analysis、	Applied Statistical Methods: Analysis of Variance,"Communication, Bachelor of Arts",Drew Cingel,"Ph.D., Media, Technology, and Society, Northwestern University, 2016
M.A., Communication, Wake Forest University, 2012
B.A., Media Effects, Pennsylvania State University, 2010
B.A., Psychology, Pennsylvania State University, 2010",https://catalog.ucdavis.edu/departments-programs-degrees/communication/communication-ab/#requirementstext,,,,,,,,,,,,,,,,,,,,,
26,University of Missouri - Columbia,密苏里大学哥伦比亚分校,USA,New Technologies and Communication,BA in Communication,Christopher S. Josey,"Ph.D., 2015, Speech Communication, University of Illinois at Urbana-Champaign
M.A., 2007, Speech Communication, University of Illinois at Urbana-Champaign
","https://catalog.missouri.edu/collegeofartsandscience/communication/ba-communication/
https://communication.missouri.edu/people/josey",,,,,,,,,,,,,,,,,,,,,
27,London School of Economics and Political Science,伦敦政治经济学院,UK,Data in Communication and Society,MSc in Media and Communications (Data and Society),Alison Powell,"Bachelor’s degree in Canadian Literature
Ph.D. (2008) Concordia University’s Communication Studies ","https://www.lse.ac.uk/resources/calendar/courseGuides/MC/2022_MC430.htm
https://www.lse.ac.uk/media-and-communications/people/academic-staff/alison-powell",,,,,,,,,,,,,,,,,,,,,
28,"Rutgers, The State University of New Jersey - New Brunswick",新泽西州立罗格斯大学,USA,"Information Technology Fundamentals
Object-Oriented Programming
Management of Technological Organizations","Information Technology and Informatics
（This belongs to the school of communication and information under a major, this college is called the College of Communication and Information, which has a journalism major and this information major）",Warren Allen,"Drexel University, College of Computing and Informatics
Ph.D. , Information Studies (Concentration: Social Informatics)

Georgetown University
M.A. , Liberal Studies

University of Delaware
B.A., Philosophy","https://comminfo.rutgers.edu/undergraduate-programs/information-technology-and-informatics-major
https://comminfo.rutgers.edu/allen-warren",,,,,,,,,,,,,,,,,,,,,
29,University of Washington,华盛顿大学,USA,"Designing Internet Research
Theories of Technology and Society
Computer-Mediated Communication",M.A. in Communication,"
1.Kirsten Foot
2.Carmen Gonzalez
3.Benjamin Mako Hill
4.Yuan Hsiao
5.Katy Pearce
6.Matthew Powers
7.Adrienne Russell","1)Ph.D., University of California, San Diego, 1999
2)Ph.D., Communication, Annenberg School for Communication and Journalism, University of Southern California, 2013
3)Ph.D., MIT in the Sloan School of Management and the Media Lab, 2013
4)Ph.D., Sociology, University of Washington, 2021
M.S., Statistics, University of Washington, 2021
5)Ph.D., Communication, University of California, Santa Barbara, 2011
M.A., International Studies, University of London School for Oriental and African Studies, 2006
B.A., Armenian, Arabic, Persian, Turkish, & Islamic Studies; American Culture, University of Michigan, 2001
6)Ph.D. in Media, Culture and Communication, New York University, 2013
7)Ph.D., Journalism and Mass Communication, Indiana University Bloomington, 2001.
M.S., Media Studies, Stanford University, 1995.
B.A., World Literature and Cultural Studies, University of California Santa Cruz, 1993.",https://com.uw.edu/graduate/ma-phd/areas-of-study/,,,,,,,,,,,,,,,,,,,,,
30,University of Utah,犹他大学,USA,N/A,N/A,N/A,N/A,https://gradschool.utah.edu/degree-programs-and-contacts/index.php,,,,,,,,,,,,,,,,,,,,,
31,University of Oregon,俄勒冈大学,USA,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
32,Stanford University,斯坦福大学,USA,"Public Affairs Data Journalism
Exploring Computational Journalism
Programming in Journalism
Politics of Algorithms ","M.A. in Journalism
B.A. in Communication","1.Serdar Tumgoren
2.Angele Christin
3.Cheryl Phillips
4.R.B. Brenner
5.Shana Hadi","1)B.A. in Georgetown University(Journalist by background, then passionate about data work, Linkedin profile
A graduate of Georgetown University, Serdar began his career as a local government reporter in California, Connecticut, and New Jersey.
He is passionate about open source tools and platforms that help journalists uncover data-driven stories. He co-founded the OpenElections project, a volunteer effort to gather and standardize U.S. election data, and created datakit, a customizable tool to help journalists simplify and standardize their data analysis workflows

2) PhD, Princeton University, Sociology (2014)
she studies fields and organizations where algorithms and analytics transform professional values, expertise, and work practices

3)journalist, a data journalist and professor (A journalist by training, she has been teaching data journalism at Stanford Journalism and founded the Stanford Computational Journalism Lab, but her academic background is not available online.
Founder, Big Local News at Stanford Journalism & Faculty Director, Stanford Computational Policy Lab

4)B.A. in Oberlin College (Journalist by training, has been a journalist for many years

5) MS in Computer Science (Human-Computer Interaction) BS in Computer Science (HCI) and BA in English","https://journalism.stanford.edu/curriculum

https://comm.stanford.edu/people/faculty/journalism",,,,,,,,,,,,,,,,,,,,,
33,Ghent University,根特大学,Belgium,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
34,University of Mainz,美茵茨大学,Germany,"Grundsätze des wissenschaftlichen Arbeitens（Course on the principles of scientific work and communication science, including data analysis）",Bachelorstudiengang Publizistik/ Bachelor of Science in Journalism（B.A. in Journalism）,Ilka Jakobs,"Abschluss als Magistra Artium (M.A.) in Publizistik und Romanistik (Französisch) an der Johannes Gutenberg-Universität Mainz; Magisterarbeit zum Thema: „Leser-Kommentare zu Online-Artikeln
英语：M.A. in Journalism and Romance Studies (French) from Johannes Gutenberg University Mainz","https://www.studium.ifp.uni-mainz.de/studieninteressierte/studiengaenge/publizistik/

https://www.studium.ifp.uni-mainz.de/studierende/studienbuero/",,,,,,,,,,,,,,,,,,,,,
35,University of Arizona,亚利桑那大学,USA,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
36,University of Groningen,格罗宁根大学,Netherlands,"Statistical Analysis with R
Analyzing Social Media Data 
Data for Society: Civic Media
Communication Technology
Computer-Mediated Communication
Coding for Humanities
Database Design","MA in Media Studies(brunch：Datafication and Digital Literacy, Journalism, Media Creation and Innovation, Social Media and Society)
MA in Communication & Information Studies(brunch:Communication, Computer-mediated Communication, Digital Humanities)","1)M.J. (Marcel) Broersma
2)H.B.M. (Huub) Wijfjes","1) M.A. in History and Journalism
Ph.D. the University of Groningen (2002; cum laude)

2)University of Utrecht doctoranduseastern european historydoctorandus","https://www.rug.nl/masters/language-communication

https://www.rug.nl/let/onze-faculteit/organisatie/vakgebieden/journalistiek-en-media-studies/employees
",,,,,,,,,,,,,,,,,,,,,
37,University of Kansas,堪萨斯大学,USA,"N/A
（There is no specific course information, only information about the teachers of each department.）",N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
38,University of Mannheim,曼海姆大学,Germany,"N/A（There is no cross major of media and AI, but there is a cross major of media and business",N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
39,"University of Maryland, College Park",马里兰大学帕克分校,USA,"Introduction to Storytelling with Code
Computer-assisted Reporting
Data Journalism
Computational Journalism","Bachelor of Journalism
(M.J.) Master of Journalism
(M.P.S.) Master of Professional Studies in Data Journalism",RAFAEL LORENTE,"MA, University of Maryland, 1998.
Major: Journalism
BA, University of Miami, 1990.
Major: English and Politics and Public Affairs","https://merrill.umd.edu/degrees-programs/masters-degree

https://merrill.umd.edu/directory/rafael-lorente",,,,,,,,,,,,,,,,,,,,,
40,University of Oslo,奥斯陆大学,Norway,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
41,University of Helsinki,赫尔辛基大学,Finland,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
42,Boston University,波士顿大学,USA,"Design and Interactive experiences
Advanced Communication research
Trending Insights: Social Data Analysis and Visualization
User-Producer 2.0: Developing Interactivity
Foundations of Analytics and Data Visualization
Foundations of Machine Learning
Web Mining and Graph Analytics","M.S. in Media Science
M.A. in Emerging Media Studies
M.S. in Media Science: Marketing Communications Studies","Anne Danehy
Dana Janbek

Kelsey Prena
James Katz

Traci Hong
T. Barton Carter","1.1)Major1
MA, Public Opinion Research, The University of Connecticut
BA, Political Science and Psychology, Smith College

1.2)
PhD, Communication, University of Miami
MA, Political Science with emphasis in International Relations, University of Louisville
BS, Communication Studies, Spalding University

2.1）
BA, Michigan State University
MA, Michigan State University, earn specialization in Serious Game Design
Ph.D, Indiana University, The Media School, in Mass Communication with a minor in Neuroscience

2.2)
PhD, Rutgers University, sociology
MEd, Rutgers University, educational statistics and psych
MA, Northern Illinois University, sociology
BA, Northern Illinois University, sociology

3.1）
PhD, Communication, University of Southern California
MA, Communication, University of Southern California
BA, Communication and Biology, University of California at Davis

3.2）
BS，Psychology，Yale University
JD，Law，University of Pennsylvania Carey Law School
MS，Mass Communication，Boston University


","Major1 course：https://www.bu.edu/com/academics/media-science/ms-in-media-science/degree-requirements/

Major2 course：https://www.bu.edu/com/academics/emerging-media-studies/ma-in-emerging-media-studies/degree-requirements/

Major3 course：https://www.bu.edu/com/academics/media-science/ms-in-media-science-marketing-communication-research/degree-requirements/

Major1 teacher)
https://www.linkedin.com/in/annedanehy
https://www.bu.edu/com/profile/dana-janbek/

Major2 teacher）
https://www.bu.edu/com/profile/kelsey-prena/
https://www.bu.edu/com/profile/james-e-katz/

Major3 teacher）
https://www.bu.edu/com/profile/traci-hong/
https://www.linkedin.com/in/tbartoncarter
",,,,,,,,,,,,,,,,,,,,,
